dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas,comuna,dirección,LATITUD,LONGITUD
01,1.0,1.0,01,ANTIOQUIA,MEDELLIN,SEC. ESC. LA ESPERANZA No 2,5322,7784,13106,4,01COMUNA 1 POPULAR,KR 29 # 102 - 20,6.291166853889096,-75.54110522383867
01,1.0,1.0,02,ANTIOQUIA,MEDELLIN,INST.EDUC. LA CANDELARIA,10101,6620,16721,5,01COMUNA 1 POPULAR,CL 106 # 32-100,6.293491161667737,-75.54232060073917
01,1.0,1.0,03,ANTIOQUIA,MEDELLIN,IE MARIA DE LOS ANGELES CANO MARQUEZ,4510,3907,8417,3,01COMUNA 1 POPULAR,CR 36B 102C 54,6.292281354276708,-75.5445017815333
01,1.0,1.0,04,ANTIOQUIA,MEDELLIN,SEC. ESC. MEDELLIN,4926,4042,8968,3,01COMUNA 1 POPULAR,CL 96 # 36-45,6.286822875493661,-75.54634394199259
01,1.0,1.0,05,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,2433,2252,4685,2,01COMUNA 1 POPULAR,Cra 39A # 104-23,6.292913702271824,-75.54774714975814
01,1.0,1.0,06,ANTIOQUIA,MEDELLIN,IE LA AVANZADA,1176,897,2073,1,01COMUNA 1 POPULAR,CRA 27 No 106BB-65,6.294368801872741,-75.53912846195836
01,1.0,1.0,07,ANTIOQUIA,MEDELLIN,SEC. ESC. CARPINELO AMAPOLITA,925,821,1746,1,01COMUNA 1 POPULAR,CALLE 97 # 23-12,6.286901662275185,-75.53825245453439
01,1.0,1.0,08,ANTIOQUIA,MEDELLIN,IE ANTONIO DERKA,3201,3031,6232,2,01COMUNA 1 POPULAR,CRA 28 No 107-425,6.297172374535049,-75.53908900853517
01,1.0,1.0,09,ANTIOQUIA,MEDELLIN,SEC. ESC. NUEVO HORIZONTE 2,2095,10214,12309,4,01COMUNA 1 POPULAR,CARRERA 37 No 107AA 21,6.297678127687827,-75.54560659015236
01,1.0,2.0,01,ANTIOQUIA,MEDELLIN,I.E. NUEVO HORIZONTE - PAULO VI,3821,7475,11296,3,01COMUNA 1 POPULAR,KR 42B # 110 A 28,6.298770610003607,-75.54621227142943
01,1.0,2.0,02,ANTIOQUIA,MEDELLIN,SEC. ESC. DIVINA PROVIDENCIA,9663,3099,12762,4,01COMUNA 1 POPULAR,CL 108 NO 43B - 17,6.297555311383203,-75.5491582190566
01,1.0,2.0,03,ANTIOQUIA,MEDELLIN,SEC.ESC.AGRIPINA MONTES DEL VALLE,4923,3216,8139,3,01COMUNA 1 POPULAR,CALLE 95 #42 B 44,6.286594344434132,-75.55026598681182
01,1.0,2.0,04,ANTIOQUIA,MEDELLIN,I.E.FEDERICO CARRASQUILLA,2713,2197,4910,2,01COMUNA 1 POPULAR,Cra 45 # 108-110,6.298627042406685,-75.54942030604306
01,1.0,2.0,05,ANTIOQUIA,MEDELLIN,I.E.GUADALUPE,6241,2612,8853,3,01COMUNA 1 POPULAR,Cra 42B 95A -23,6.286822977192469,-75.54990857398555
01,1.0,3.0,01,ANTIOQUIA,MEDELLIN,I.E.  ASIA IGNACIANA,7782,7536,15318,4,02COMUNA 2 SANTA CRUZ,CL 122 # 51B-30,6.306288398534118,-75.55503370017753
01,1.0,3.0,02,ANTIOQUIA,MEDELLIN,SEC.ESC.  MANUEL URIBE ANGEL,8277,6254,14531,4,02COMUNA 2 SANTA CRUZ,KR 49A #107-65,6.298030595377991,-75.5537101125958
01,1.0,3.0,03,ANTIOQUIA,MEDELLIN,SEC. ESC. FIDEL ANTONIO SALDARRIAGA,5001,3859,8860,3,02COMUNA 2 SANTA CRUZ,CRA 48 No 103B-01,6.29402005807331,-75.55389805768115
01,1.0,3.0,04,ANTIOQUIA,MEDELLIN,SEC ESC LA FRONTERA,1933,1421,3354,1,02COMUNA 2 SANTA CRUZ,CALLE 122 No 50A 14,6.30574568136459,-75.55265288075903
01,1.0,4.0,01,ANTIOQUIA,MEDELLIN,I.E. BARRIO SANTA CRUZ,5940,5073,11013,3,02COMUNA 2 SANTA CRUZ,CL 103 # 43A - 45,6.292401391485563,-75.55040017361034
01,1.0,4.0,02,ANTIOQUIA,MEDELLIN,SEC. ESC. ARZOBISPO GARCIA,5695,4399,10094,3,02COMUNA 2 SANTA CRUZ,KR 49 # 98-48,6.290124901597239,-75.55600184487506
